DLiP-ID,Mol Image,MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings
D00000,COc1cccc2c1OCC21CCN(C(=O)CC2(c3cccc(Br)c3)CCNCC2)CC1,499.449,3.49,4,1,50.8,4,5
D00001,COc1ccccc1Cn1nc(C)c(C(=O)N2CCC(CN3Cc4ccc(F)cc4C3=O)CC2)c1C,490.579,4.05,5,0,67.67,6,5
D00002,COc1cccc(C2(CC(=O)NC3(Cc4ccc(Cl)cc4)CCS(=O)(=O)CC3)CCNCC2)c1,505.08,3.868,5,2,84.5,7,4
D00003,NC1CCN(Cc2ccccc2C(=O)NC2CCN(Cc3ccccc3C(=O)O)CC2)CC1,450.583,2.666,5,3,98.9,7,4
D00004,COc1cccc(C2(CC(=O)Nc3ccccc3N3CCC(C(=O)O)CC3)CCNCC2)c1,451.567,2.902,5,3,90.9,7,4
D00005,Cc1ccccc1Cn1nc(C)c(C(=O)NC2(Cc3ccccc3)CCS(=O)(=O)CC2)c1C,465.619,4.639,5,1,81.06,6,4
D00006,COc1ccc(C2(CC(=O)N3CCC4(CC3)N=C(c3ccccc3)NC4=O)CCNCC2)cc1,460.578,2.452,5,2,83.03,5,5
D00007,NC1CCN(C(=O)c2ccc(C(=O)NC3CCN(Cc4ccccc4C(=O)O)CC3)cc2)CC1,464.566,2.462,5,3,115.97,6,4
D00008,O=C(c1cnn(CC2CCN(Cc3ccccc3)CC2)c1)N1CCC[C@H](N2Cc3ccccc3NC2=O)C1,512.658,3.442,5,1,73.71,6,6
D00009,COc1ccc(C2(CC(=O)N3CCC(NS(=O)(=O)c4ccc(C(=O)O)cc4)CC3)CCNCC2)cc1,515.632,2.052,6,3,125.04,8,4
D0000A,O=C(O)c1ccc(S(=O)(=O)NC2CCN(C(=O)C3(c4ccccc4Br)CC3)CC2)cc1,507.406,3.582,4,2,103.78,6,4
D0000B,NC1CCN(C(=O)c2ccc(C(=O)N3CCCC(N4Cc5ccccc5NS4(=O)=O)C3)cc2)CC1,497.621,1.733,5,2,116.05,3,5
D0000C,O=C(NC(c1cccc(F)c1)C1CCNCC1)C1(Cc2cccnc2)CCS(=O)(=O)CC1,459.587,2.386,5,2,88.16,6,4
D0000D,NC1CCN(Cc2cccc(C(=O)NC3CCN(C(=O)c4ccccc4C(=O)O)CC3)c2)CC1,464.566,2.462,5,3,115.97,6,4
D0000E,CC1(C)CC(=O)Nc2ccc(NC(=O)c3cnn(CC4CCN(Cc5ccccc5)CC4)c3)cc21,471.605,3.633,5,2,79.26,6,5
D0000F,CN1CCN(c2cncc(C(=O)N3CCC[C@@H](N4Cc5ccccc5NS4(=O)=O)C3)c2)CC1,470.599,1.139,6,1,89.09,3,5
D0000G,O=C(Cn1c(C2CCOCC2)nc2c(F)cccc21)Nc1cc(F)ccc1N[C@H]1CC[C@H](O)CC1,484.547,3.166,6,3,88.41,6,5
D0000H,NC1CCN(Cc2ccc(C(=O)NC3CCN(Cc4cccc(C(=O)O)c4)CC3)cc2)CC1,450.583,2.666,5,3,98.9,7,4
D0000I,COc1ccccc1C(C(=O)NC1CCN(Cc2ccc(C(=O)O)cc2)CC1)N1CCNCC1,466.582,1.85,6,3,94.14,8,4
D0000J,COc1ccc(-c2nnc3n2CCCN3C(=O)c2ccc(C(=O)N3CCC(N)CC3)cc2)cc1,460.538,5.221,7,1,106.58,4,5
D0000K,NC1CCN(C(=O)c2cccc(C(=O)N3CCN(c4cc(Cl)cc(Cl)c4)CC3)c2)CC1,461.393,4.058,4,1,69.88,3,4
D0000L,COc1ccccc1CC1(NC(=O)c2cnc3cc(C4CCOCC4)nn3c2)CCS(=O)(=O)CC1,498.605,2.211,8,1,111.89,6,5
D0000M,O=C(N[C@H]1CCN(Cc2ccc(Cl)cc2)C1)C1(Cc2cccc(Br)c2)CCOCC1,491.857,4.54,3,1,41.57,6,4
D0000N,O=C(c1cnc(OC2CCOCC2)nc1)N1CCC2(CC1)N=C(c1ccc(F)cc1)NC2=O,453.474,1.652,7,1,106.01,4,5
D0000O,COc1ccccc1CC1(NC(=O)c2cccn3c(C4CC4)nnc23)CCS(=O)(=O)CC1,454.552,4.692,7,1,102.66,6,5
D00000,COc1cccc2c1OCC21CCN(C(=O)CC2(c3cccc(Br)c3)CCNCC2)CC1,499.449,3.49,4,1,50.8,4,5
D00001,COc1ccccc1Cn1nc(C)c(C(=O)N2CCC(CN3Cc4ccc(F)cc4C3=O)CC2)c1C,490.579,4.05,5,0,67.67,6,5
D00002,COc1cccc(C2(CC(=O)NC3(Cc4ccc(Cl)cc4)CCS(=O)(=O)CC3)CCNCC2)c1,505.08,3.868,5,2,84.5,7,4
D00003,NC1CCN(Cc2ccccc2C(=O)NC2CCN(Cc3ccccc3C(=O)O)CC2)CC1,450.583,2.666,5,3,98.9,7,4
D00004,COc1cccc(C2(CC(=O)Nc3ccccc3N3CCC(C(=O)O)CC3)CCNCC2)c1,451.567,2.902,5,3,90.9,7,4
D00005,Cc1ccccc1Cn1nc(C)c(C(=O)NC2(Cc3ccccc3)CCS(=O)(=O)CC2)c1C,465.619,4.639,5,1,81.06,6,4
D00006,COc1ccc(C2(CC(=O)N3CCC4(CC3)N=C(c3ccccc3)NC4=O)CCNCC2)cc1,460.578,2.452,5,2,83.03,5,5
D00007,NC1CCN(C(=O)c2ccc(C(=O)NC3CCN(Cc4ccccc4C(=O)O)CC3)cc2)CC1,464.566,2.462,5,3,115.97,6,4
D00008,O=C(c1cnn(CC2CCN(Cc3ccccc3)CC2)c1)N1CCC[C@H](N2Cc3ccccc3NC2=O)C1,512.658,3.442,5,1,73.71,6,6
D00009,COc1ccc(C2(CC(=O)N3CCC(NS(=O)(=O)c4ccc(C(=O)O)cc4)CC3)CCNCC2)cc1,515.632,2.052,6,3,125.04,8,4
D0000A,O=C(O)c1ccc(S(=O)(=O)NC2CCN(C(=O)C3(c4ccccc4Br)CC3)CC2)cc1,507.406,3.582,4,2,103.78,6,4
D0000B,NC1CCN(C(=O)c2ccc(C(=O)N3CCCC(N4Cc5ccccc5NS4(=O)=O)C3)cc2)CC1,497.621,1.733,5,2,116.05,3,5
D0000C,O=C(NC(c1cccc(F)c1)C1CCNCC1)C1(Cc2cccnc2)CCS(=O)(=O)CC1,459.587,2.386,5,2,88.16,6,4
